Channel,DateFrom,DateTime,DateTo,identifier,Price,Section,source_timestamp
VPH,2018-12-14T06:02:35.000Z,2018-12-14T06:02:58.093Z,2018-12-14T09:04:30.000Z,b43b70c2-dd16-4fe9-854e-862bdcc54539,83,P1-0375,2018-12-14 06:02:58.093
VPH,2018-12-14T06:02:13.000Z,2018-12-14T06:02:57.140Z,2018-12-14T08:15:00.000Z,f2d1ad05-5e3e-4a64-8613-2c36b401721c,50,P2-0237,2018-12-14 06:02:57.14
VPH,2018-12-14T06:02:47.000Z,2018-12-14T06:02:54.017Z,2018-12-14T09:36:00.000Z,fd3470f7-7445-43a6-9067-5d3db94411a0,26,P5-1101,2018-12-14 06:02:54.017
VPH,2018-12-14T06:02:32.000Z,2018-12-14T06:02:52.970Z,2018-12-14T07:58:00.000Z,b95ae3b7-d56a-47de-9735-73351715200e,29,P8-0419,2018-12-14 06:02:52.97
VPH,2018-12-14T06:00:53.000Z,2018-12-14T06:02:48.377Z,2018-12-14T15:00:00.000Z,a18dcf7c-7eaf-4bd7-8465-bded65271e69,240,P2-0131,2018-12-14 06:02:48.377
VPH,2018-12-14T06:01:54.000Z,2018-12-14T06:02:48.250Z,2018-12-14T12:03:00.000Z,d073cd9f-dc5a-4385-8a21-48e1e87db157,202,P1-0244,2018-12-14 06:02:48.25
VPH,2018-12-14T06:01:46.000Z,2018-12-14T06:02:45.047Z,2018-12-14T07:40:00.000Z,b2da7aa2-9746-4a70-b6a8-bf9635283284,20,P5-1435,2018-12-14 06:02:45.047
VPH,2018-12-14T06:01:34.000Z,2018-12-14T06:02:41.440Z,2018-12-14T09:58:30.000Z,968fa953-749c-409c-968b-71dc15befac8,119,P1-0319,2018-12-14 06:02:41.44
VPH,2018-12-14T06:01:31.000Z,2018-12-14T06:02:38.063Z,2018-12-14T09:20:00.000Z,7d335118-f58b-4936-9507-f466fff14bfa,70,P4-1739,2018-12-14 06:02:38.063
VPH,2018-12-14T06:01:59.000Z,2018-12-14T06:02:27.860Z,2018-12-14T07:24:00.000Z,a1d43c71-6ee5-422b-9e7e-307e830ec34c,8,P5-2625,2018-12-14 06:02:27.86
PARKMACHINE,2018-12-14T06:02:10.320Z,2018-12-14T06:02:23.220Z,2018-12-14T08:30:00.000Z,62c52f4b-8ecc-4ab0-a0b4-16ef64e87dee,15,P22-0002,2018-12-14 06:02:23.22
VPH,2018-12-14T06:01:03.000Z,2018-12-14T06:02:15.953Z,2018-12-14T12:10:00.000Z,d4160e9e-0206-4d77-bbf5-46a7c99f3ebb,155,P5-1337,2018-12-14 06:02:15.953
VPH,2018-12-14T06:01:33.000Z,2018-12-14T06:02:14.127Z,2018-12-14T11:00:00.000Z,8067b622-f424-4f41-9293-a01b35ed92eb,40,P6-1500,2018-12-14 06:02:14.127
VPH,2018-12-14T06:01:11.000Z,2018-12-14T06:02:12.267Z,2018-12-14T09:00:00.000Z,0f580572-e16c-4d5e-8466-87aec6a1af4c,40,P8-1151,2018-12-14 06:02:12.267
VPH,2018-12-14T06:01:00.000Z,2018-12-14T06:02:07.860Z,2018-12-14T07:45:00.000Z,13ff3c47-bf3f-45a9-b5ae-e4aea6cac283,15,P4-1376,2018-12-14 06:02:07.86
VPH,2018-12-14T06:01:23.000Z,2018-12-14T06:02:06.783Z,2018-12-14T11:50:00.000Z,e71e9023-98d3-4865-8dd9-5b87463d7f43,145,P5-1441,2018-12-14 06:02:06.783
VPH,2018-12-14T06:01:01.000Z,2018-12-14T06:01:57.423Z,2018-12-14T10:03:00.000Z,4ee7edf8-6514-4d38-ba75-d3a49ab4c849,122,P1-0447,2018-12-14 06:01:57.423
VPH,2018-12-14T06:01:23.000Z,2018-12-14T06:01:53.547Z,2018-12-14T08:01:23.000Z,b4f520c1-a5d7-4955-aec3-6756d709e263,0,P13-0002,2018-12-14 06:01:53.547
VPH,2018-12-14T06:01:06.000Z,2018-12-14T06:01:50.987Z,2018-12-17T07:00:00.000Z,768e64c4-bc94-4a01-8b13-cf33d0218ec9,60,P4-1619,2018-12-14 06:01:50.987
VPH,2018-12-14T06:00:15.000Z,2018-12-14T06:01:48.703Z,2018-12-14T15:15:00.000Z,31a6af3c-fa85-4052-b6c6-cc342d5cc7c3,165,P6-1177,2018-12-14 06:01:48.703
VPH,2018-12-14T06:01:29.000Z,2018-12-14T06:01:46.093Z,2018-12-14T07:52:30.000Z,4cbee477-d51a-458d-8e8e-b39156de551e,35,P2-0236,2018-12-14 06:01:46.093
VPH,2018-12-14T06:01:16.000Z,2018-12-14T06:01:44.593Z,2018-12-14T08:15:00.000Z,62f29d0d-497b-43f7-9baa-910e78b229e4,50,P1-0417,2018-12-14 06:01:44.593
VPH,2018-12-14T06:01:21.000Z,2018-12-14T06:01:42.673Z,2018-12-14T09:00:00.000Z,18690431-ccd2-4d39-9419-bd3bf2f84d2f,20,P6-1305,2018-12-14 06:01:42.673
VPH,2018-12-14T06:00:10.000Z,2018-12-14T06:01:39.377Z,2018-12-14T08:10:10.000Z,ed24b724-59de-472f-8e3c-84801b8bba15,35,P13-0001,2018-12-14 06:01:39.377
VPH,2018-12-14T06:00:34.000Z,2018-12-14T06:01:33.187Z,2018-12-14T08:00:00.000Z,ab0241f4-4f79-4f5f-a14d-24158a8225fb,40,P7-0041,2018-12-14 06:01:33.187
VPH,2018-12-14T05:59:53.000Z,2018-12-14T06:01:32.423Z,2018-12-14T07:30:00.000Z,c95267a0-9cbf-43f5-b4fb-3c39f1f4c43c,10,P7-0175,2018-12-14 06:01:32.423
VPH,2018-12-14T06:00:36.000Z,2018-12-14T06:01:28.593Z,2018-12-14T09:00:00.000Z,abe34da0-71ae-46e8-a2bc-1a9b082590f1,80,P1-0244,2018-12-14 06:01:28.593
VPH,2018-12-14T06:00:42.000Z,2018-12-14T06:01:26.923Z,2018-12-14T07:50:00.000Z,e9dbb533-33ea-43a1-b635-724b6f01c5a5,25,P8-0415,2018-12-14 06:01:26.923
PARKMACHINE,2018-12-14T06:01:04.353Z,2018-12-14T06:01:24.500Z,2018-12-14T14:00:00.000Z,a5958b64-8f03-4840-8020-32ee44c58938,70,P6-0476,2018-12-14 06:01:24.5
VPH,2018-12-14T06:00:07.000Z,2018-12-14T06:01:20.173Z,2018-12-14T09:10:00.000Z,477ed556-1b06-4085-b3b1-f25edd54ea92,65,P3-0241,2018-12-14 06:01:20.173
PARKMACHINE,2018-12-14T06:00:22.840Z,2018-12-14T06:01:17.547Z,2018-12-14T09:00:00.000Z,cafaa2be-7e00-4280-8115-fbe9f264f3b3,20,P4-1429,2018-12-14 06:01:17.547
PARKMACHINE,2018-12-14T06:00:51.340Z,2018-12-14T06:01:02.453Z,2018-12-14T07:00:51.340Z,832dc1c8-4585-4c46-b2d7-d1a5f714f21a,30,P13-0002,2018-12-14 06:01:02.453
VPH,2018-12-14T05:59:53.000Z,2018-12-14T06:01:00.267Z,2018-12-14T08:00:00.000Z,ab62f655-727d-4302-9ac6-53148aac081d,20,P8-1325,2018-12-14 06:01:00.267
VPH,2018-12-14T06:00:38.000Z,2018-12-14T06:00:59.250Z,2018-12-14T08:15:00.000Z,313ce17d-d203-4fb5-9247-2ce44be3e2c6,50,P2-0312,2018-12-14 06:00:59.25
VPH,2018-12-14T06:00:34.000Z,2018-12-14T06:00:52.533Z,2018-12-14T08:01:30.000Z,b83438a6-3020-424e-b328-94f7c0218a04,41,P7-0097,2018-12-14 06:00:52.533
